CANMOREID,NMRSNAME,SITETYPE,COUNTY,GRIDREF,XCOORD,YCOORD,URL,det_class
22332,"ARDNACROSS, MULL",CAIRN (PERIOD UNASSIGNED)(POSSIBLE),ARGYLL,NM 5504 5003,155040.0,750030.0,https://canmore.org.uk/site/22332/,cairn
23183,CLACHADOW 1,BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 93936 28057,193936.0,728057.0,https://canmore.org.uk/site/23183/,cairn
23184,CLACHADOW 2,KERB CAIRN (BRONZE AGE),ARGYLL,NM 94731 27629,194731.0,727629.0,https://canmore.org.uk/site/23184/,cairn
23185,GLENAMACHRIE,CAIRN(S) (LATER PREHISTORIC)(POSSIBLE),ARGYLL,NM 9320 2831,193200.0,728310.0,https://canmore.org.uk/site/23185/,cairn
23192,BARR BEAG,BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 90706 29714,190706.0,729714.0,https://canmore.org.uk/site/23192/,cairn
22745,CAISTEAL NAN COIN DUIBH,"CLEARANCE CAIRN(S) (POST MEDIEVAL), RIG AND FURROW (POST MEDIEVAL), SETTLEMENT (POST MEDIEVAL), STORAGE PIT(S) (POST MEDIEVAL)",ARGYLL,NM 79953 07643,179953.0,707643.0,https://canmore.org.uk/site/22745/,cairn
22754,KINTRAW,RING CAIRN (NEOLITHIC) - (BRONZE AGE),ARGYLL,NM 830 050,183000.0,705000.0,https://canmore.org.uk/site/22754/,cairn
22881,KILMELFORD,CAIRN (LATER PREHISTORIC),ARGYLL,NM 84420 12720,184420.0,712720.0,https://canmore.org.uk/site/22881/,cairn
22889,KILMORE,CAIRN (LATER PREHISTORIC),ARGYLL,NM 88295 25147,188295.0,725147.0,https://canmore.org.uk/site/22889/,cairn
22896,CLEIGH,CAIRN (PERIOD UNASSIGNED)(POSSIBLE),ARGYLL,NM 8785 2570,187850.0,725700.0,https://canmore.org.uk/site/22896/,cairn
22901,KILMORE,CAIRN (LATER PREHISTORIC),ARGYLL,NM 88037 25323,188037.0,725323.0,https://canmore.org.uk/site/22901/,cairn
22903,ARIOGAN 1,BURIAL CAIRN (PREHISTORIC),ARGYLL,NM 86339 27535,186339.0,727535.0,https://canmore.org.uk/site/22903/,cairn
